OwnerID,Name,Surname,StreetAddress,City,State,StateFull,ZipCode
8830,Elizabeth,Griffin,2222 Daylene Drive,Southfield,MI,Michigan,48075
9037,Roger,Lade,1315 Echo Lane,Grand Rapids,MI,Michigan,49503
9039,Enrique,Baker,774 Robinson Court,Saginaw,MI,Michigan,48607
9365,Bruce,Tatum,1712 Woodbridge Lane,Livonia,MI,Michigan,48150
9385,Joyce,Lopez,1622 Goff Avenue,Kalamazoo,MI,Michigan,49007
9427,Robert,McKinney,3425 Shingleton Road,Oshtemo,MI,Michigan,49077
9604,William,Tea,367 Cherry Ridge Drive,Roseville,MI,Michigan,48066
9614,Carmen,Ingram,1056 Eagle Drive,Detroit,MI,Michigan,48219
9828,Steven,Sheldon,2664 Bombardier Way,Wayne,MI,Michigan,48184
9850,Gary,Snider,3139 Nash Street,Detroit,MI,Michigan,48227
9900,Marie,Floyd,314 Cunningham Court,Southfield,MI,Michigan,48075
